"","temp2.Liczba_pokoi","temp2.Cena4m2"
"1",3,4890.90909090909
"2",3,4050.63291139241
"3",3,5946.79186228482
"4",3,5250
"5",5,5889.64662120273
"6",3,5137.45704467354
"7",4,5169.64285714286
"8",4,5067.56756756757
"9",5,2896.95268644747
"10",3,4753.84615384615
"11",3,5965.79053780833
"12",3,5339.56282329384
"13",3,5544.44444444444
"14",4,4285.71428571429
"15",3,5370.37037037037
"16",3,4107.14285714286
"17",4,4157.40740740741
"18",3,5630.02680965147
"19",3,5612.41896963494
"20",3,5546.875
"21",3,5022.22222222222
"22",3,5660.37735849057
"23",3,5876.29397679131
"24",4,5035.3982300885
"25",3,4700
"26",3,5600
"27",3,5844.8275862069
"28",3,4700
"29",3,5072.46376811594
"30",3,4796.99248120301
"31",3,3455.69620253165
"32",3,5600
"33",5,5000
"34",3,5188.67924528302
"35",3,4362.63736263736
"36",4,3629.03225806452
"37",3,6189.65517241379
"38",3,5710
"39",3,6100
"40",4,5509.99566661852
"41",3,5230.76923076923
"42",3,4493.67088607595
"43",4,4277.77777777778
"44",4,4359.375
"45",3,5710.00177022482
"46",3,4643.83561643836
"47",3,5900
"48",4,5166.66666666667
"49",3,4616.61341853035
"50",3,6150
"51",4,3888.88888888889
"52",4,3947.36842105263
"53",3,5431.93717277487
"54",6,5906.73575129534
"55",3,5207.54716981132
"56",5,3461.53846153846
"57",3,5104.16666666667
"58",5,5832.79325988334
"59",3,3728.35004557885
"60",4,4074.82993197279
"61",3,6100
"62",3,4200
"63",3,6050
"64",3,5737.34918381831
"65",3,4020.04803174272
"66",4,5097.82608695652
"67",3,5797.10144927536
"68",3,5138.88888888889
"69",4,4587.59084053202
"70",3,4358.97435897436
"71",3,4397.84946236559
"72",3,5059.22165820643
"73",3,5237.28813559322
"74",3,3987.3417721519
"75",3,5970.87378640777
"76",3,4843.75
"77",4,4390.54054054054
"78",3,5749.9912572128
"79",3,3287.67123287671
"80",3,5710
"81",3,4210.52631578947
"82",5,4615.38461538462
"83",3,5638.29787234043
"84",4,4052.58877744646
"85",4,4797.2972972973
"86",3,4656.25
"87",5,5000
"88",3,5977.27272727273
"89",4,4619.85216473073
"90",3,4285.71428571429
"91",3,5548.38709677419
"92",4,4802.25988700565
"93",3,4860.46511627907
"94",3,5530.30303030303
"95",4,4680.35190615836
"96",3,3558.44155844156
"97",3,5638.29787234043
"98",3,4764.70588235294
"99",3,4296.875
"100",3,4718.30985915493
"101",3,5424.52830188679
"102",3,4769.23076923077
"103",3,5327.86885245902
"104",3,4629.61111111111
"105",3,4359.375
"106",3,5667.84237726098
"107",3,5230.76923076923
"108",4,4639.53488372093
"109",4,4402.33457844184
"110",3,4087.19346049046
"111",4,3000
"112",3,4680.82978723404
"113",3,5121.62162162162
"114",3,4446.04316546763
"115",3,5937.5
"116",3,5468.75
"117",3,5709.99673309376
"118",3,4746.26865671642
"119",3,5161.29032258064
"120",3,5940
"121",3,5351.85185185185
"122",3,4453.125
"123",3,6063.82978723404
"124",3,4700
"125",3,5965.80164956749
"126",3,5851.06382978723
"127",3,6000
"128",4,5208.33333333333
"129",3,4841.1214953271
"130",3,5700
"131",3,5802.44517756647
"132",4,3463.49291254346
"133",3,6088.96638303808
"134",3,4531.25
"135",3,6000
"136",3,4910.44776119403
"137",3,5666.66666666667
"138",3,5936.17021276596
"139",4,4277.77777777778
"140",3,5800
"141",3,5963.30275229358
"142",3,4162.10295728368
"143",3,6000
"144",3,4628.57142857143
"145",4,4279.89130434783
"146",3,4571.42857142857
"147",3,5641.50943396226
"148",3,4296.875
"149",3,6202.7027027027
"150",4,6000.77429345722
"151",5,4891.30434782609
"152",4,5659.99419785321
"153",3,5609.99665103818
"154",3,5600
"155",3,5161.29032258064
"156",3,5161.29032258064
"157",3,5500
"158",3,5078.125
"159",3,5197.36842105263
"160",3,5677.96610169491
"161",4,4642.85714285714
"162",3,5960.00425260472
"163",4,3933.33333333333
"164",3,3576.92307692308
"165",3,6148.93617021277
"166",3,5338.98305084746
"167",3,5312.5
"168",3,4633.33333333333
"169",4,4797.2972972973
"170",4,4398.82697947214
"171",3,4380.35043804756
"172",3,5103.201901566
"173",4,5369.23076923077
"174",3,6200
"175",4,6200
"176",3,5338.93985728848
"177",3,4945.90417310665
"178",4,2997.69408147579
"179",3,3955.22388059702
"180",3,3856.56292286874
"181",3,5279.41176470588
"182",3,5623.79671150972
"183",3,5587.27272727273
"184",4,4692.55663430421
"185",3,4822.58064516129
"186",3,3888.88888888889
"187",3,3877.79083431257
"188",4,4429.53020134228
"189",3,5344.8275862069
"190",3,5924.58895252171
"191",3,5071.77033492823
"192",3,6150
"193",3,6080.15112670355
"194",4,5800.34789331272
"195",3,3775.14792899408
"196",3,5857.14285714286
"197",4,3076.92307692308
"198",4,4876.92307692308
"199",3,5391.89189189189
"200",3,5560.00354107649
"201",3,4753.84615384615
"202",3,6027.50047089847
"203",3,5709.9982241165
"204",4,5722.97452595288
"205",3,4690.90909090909
"206",3,6057.83866057839
"207",3,4741.37931034483
"208",4,3904.1095890411
"209",3,6000
"210",3,5207.20720720721
"211",3,6050
"212",3,4102.5641025641
"213",5,4123.96694214876
"214",3,5327.10280373832
"215",3,6186.04651162791
"216",4,5575.75757575758
"217",4,4915.49295774648
"218",3,4992.07606973059
"219",3,3815.58028616852
"220",3,6176.47058823529
"221",5,3526.71317977635
"222",4,4588.56345885635
"223",3,4609.375
"224",3,6122.80701754386
"225",4,3921.56862745098
"226",3,3840
"227",3,5104.16666666667
"228",3,3875
"229",3,5477.42413027387
"230",3,6206.89655172414
"231",4,6050
"232",4,6076.92307692308
"233",3,5059.22165820643
"234",3,4866.00846262341
"235",3,5135.13513513513
"236",3,5965.79110651499
"237",3,4642.85714285714
"238",3,4654.44287729196
"239",3,5609.99665663658
"240",3,5923.42342342342
"241",5,4082.91457286432
"242",3,6020.83333333333
"243",3,3904.28211586902
"244",3,4662.16216216216
